 EE # ; Manufacturer ; Equipment Name ; Model ; Serial ; Status ; PO ; Category ; EIL ; Acquisition Date ; Total Asset Value ; Location ; Last inventory Date 
69283;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631920;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;1/5/17
69284;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631926;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2180-111;12/5/16
69285;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631927;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2180-111;12/29/16
69286;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631936;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;1138-111;12/5/16
69287;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631937;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/5/17
69288;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631938;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/19/16
69289;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631961;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/3/17
69290;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631962;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;1/5/17
69291;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631970;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/5/17
69292;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631971;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;5600A-111;1/5/17
69293;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631972;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;12/5/16
69294;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631977;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/5/17
69295;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631983;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;1/5/17
69296;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631988;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/3/17
69297;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631997;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2209-111;12/5/16
69298;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632007;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;7502-111;1/3/17
69300;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632014;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;9202-111;1/5/17
69301;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632025;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;12/29/16
69302;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632029;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/5/16
69303;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632031;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;12/29/16
69304;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632039;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;135A-144;7/7/17
69305;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632044;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/5/17
69306;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632050;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/5/17
69307;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632057;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/14/16
69308;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632062;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/3/17
69309;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632065;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;1/3/17
69310;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632071;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;7502-111;12/17/16
69311;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632079;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;9202-111;12/29/16
69312;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632080;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;12/29/16
69314;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632092;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2501-111;1/5/17
69315;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632109;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/5/17
69316;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632113;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2209-111;12/5/16
69317;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632116;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/3/17
69318;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632119;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2501-111;1/3/17
69319;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632142;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;1138-111;1/5/17
69320;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632144;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/3/17
69321;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632145;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/5/16
69322;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632147;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;1138-111;12/5/16
69324;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632165;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/3/17
69325;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632170;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/3/17
69326;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632172;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/5/17
69327;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632174;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;12/29/16
69328;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632198;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;12/5/16
69329;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632199;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/5/17
69330;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632204;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/5/16
69331;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632206;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;7502-111;1/5/17
69332;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632210;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;1138-111;1/5/17
69333;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632211;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6222-111;10/2/16
69334;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632213;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;9202-111;1/3/17
69337;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632230;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/3/17
69338;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632232;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;1138-111;12/14/16
69339;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632234;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;8111-111;12/29/16
69340;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632236;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/5/16
69341;CAREFUSION SOLUTIONS LLC;PUMP-EPIDURAL;ALARIS PC UNIT 8015;13632240;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2438-111;10/2/16
69342;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632241;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/5/17
69343;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632243;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;12/6/16
69344;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632245;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;5600A-111;12/12/16
69345;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632246;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;1138-111;1/3/17
69347;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632295;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;8111-111;12/19/16
69348;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632297;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;*C0764-111;12/5/16
69349;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632300;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;1/3/17
69350;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632302;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2108-111;12/5/16
69351;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632342;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/7/16
69352;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632343;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/29/16
69354;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632346;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;1138-111;12/29/16
69355;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632349;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/5/17
69356;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632350;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2501-111;1/3/17
69357;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632351;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/3/17
69358;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632352;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/5/17
69359;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632353;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/3/17
69361;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632403;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/5/16
69362;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632404;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;1/5/17
69363;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632406;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;5600A-111;12/5/16
69364;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632407;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;12/29/16
69365;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632411;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/5/17
69366;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632413;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;7502-111;12/17/16
69367;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632414;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;1138-111;1/5/17
69368;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632416;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;A1064-111;12/29/16
69369;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632454;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;12/5/16
69370;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632487;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;12/15/16
69371;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632508;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;5600A-111;12/5/16
69373;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632513;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/5/17
69374;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632533;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/14/16
69375;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632542;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;7502-111;1/5/17
69376;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632553;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;1/5/17
69377;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632555;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;1/3/17
69378;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632599;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;*C0458-111;1/3/17
69379;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632602;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2501-111;1/3/17
69380;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632611;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/29/16
69381;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632616;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;1/5/17
69382;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632618;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;1/5/17
69383;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632622;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/19/16
69384;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632624;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;12/5/16
69385;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632628;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2501-111;1/3/17
69386;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632630;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;1/3/17
69387;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632650;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;1/5/17
69388;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632656;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2209-111;12/5/16
69389;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632749;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2180-111;12/5/16
69391;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632754;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/5/16
69392;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632769;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/3/17
69394;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632776;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;1/5/17
69396;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632788;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;12/5/16
69397;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632789;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;12/14/16
69398;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632794;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;1/5/17
69399;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632797;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;1/3/17
69400;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632805;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2501-111;1/3/17
69401;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632806;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/5/16
69402;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632809;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;8111-111;12/29/16
69403;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632810;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;7502-111;1/5/17
69404;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632813;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;1138-111;1/5/17
69405;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632833;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;12/29/16
69406;CAREFUSION SOLUTIONS LLC;PUMP-EPIDURAL;ALARIS PC UNIT 8015;13632850;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;12/5/16
69407;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632869;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2501-111;12/29/16
69408;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632871;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2501-111;12/14/16
69409;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632877;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;7502-111;1/5/17
69412;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632908;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/19/16
69413;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632911;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;1/3/17
69414;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632919;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/3/17
69415;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632922;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/3/17
69417;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632978;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2180-111;12/5/16
69418;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632980;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/3/17
69419;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632988;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2501-111;1/3/17
69420;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632989;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/5/17
69421;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632998;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;5600A-111;12/29/16
69422;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13632999;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;1/3/17
69423;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13633001;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2501-111;12/14/16
69424;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13633024;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6222-111;1/6/17
69425;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13633025;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;12/29/16
69426;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13633027;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/5/16
69427;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13633038;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;1/3/17
69428;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13633043;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/3/17
69430;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13633052;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/29/16
69431;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13633062;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;1138-111;1/5/17
69432;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13633065;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;12/17/16
69433;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13633069;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/5/17
69434;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13633076;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2503-111;12/29/16
72237;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13741176;IN USE;695-A20433;INFUSION CONTROLLERS;431;11/29/12;2594,94;B0209-111;12/5/16
72239;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13665627;IN USE;695-A20433;INFUSION CONTROLLERS;431;11/29/12;2594,94;7502-111;1/5/17
72240;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13740823;IN USE;695-A20433;INFUSION CONTROLLERS;431;11/29/12;2594,94;2501-111;1/3/17
72241;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13741131;IN USE;695-A20433;INFUSION CONTROLLERS;431;11/29/12;2594,94;7502-111;12/29/16
72242;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13741199;IN USE;695-A20433;INFUSION CONTROLLERS;431;11/29/12;2594,94;B0209-111;12/14/16
